"Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","TB","GDP","HBP","SH","SF","IBB","Age","Allstar_batter"
"Javier B ez",144,590,555,64,132,27,4,17,67,9,2,26,147,218,13,6,0,3,1,29,"0"
"Jaylin Davis",12,27,24,4,8,1,0,0,2,0,0,3,11,9,0,0,0,0,0,27,"0"
"Jazz Chisholm Jr",60,241,213,39,54,10,4,14,45,12,5,21,66,114,0,3,0,3,0,24,"0"
"Jean Segura",98,387,354,45,98,9,0,10,33,13,6,25,58,137,16,7,0,1,1,32,"0"
"Jed Lowrie",50,184,167,14,30,5,0,3,16,1,0,15,39,44,5,0,0,2,0,38,"0"
"Jeff Hoffman",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"0"
"Jeff McNeil",148,589,533,73,174,39,1,9,62,4,0,40,61,242,6,11,0,5,1,30,"0"
"Jeimer Candelario",124,467,429,49,93,19,2,13,50,0,1,28,109,155,9,6,0,4,1,28,"0"
"Jerar Encarnaci n",23,81,77,7,14,3,0,3,14,2,0,3,32,26,3,0,0,1,0,24,"0"
"Jeremy Pe a",136,558,521,72,132,20,2,22,63,11,2,22,135,222,5,6,1,5,0,24,"0"
"Jermaine Palacios",30,77,70,8,10,0,0,2,6,0,0,4,27,16,2,0,1,2,0,25,"0"
"Jes s Aguilar",258,1014,928,78,218,38,0,32,102,2,0,56,238,352,16,8,0,10,2,32,"0"
"Jes s S nchez",98,343,313,38,67,14,3,13,36,1,0,26,92,126,7,3,0,1,0,24,"0"
"Jesse Winker",136,547,456,51,100,15,0,14,53,0,0,84,103,157,8,4,0,3,1,28,"0"
"Jeter Downs",14,41,39,4,6,1,0,1,4,0,0,1,21,10,0,0,0,1,0,23,"0"
"Jeurys Familia",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"0"
"Jhoan Duran",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"0"
"Ji Hwan Bae",10,37,33,5,11,3,0,0,6,3,0,2,6,14,0,2,0,0,0,22,"0"
"Ji Man Choi",113,419,356,36,83,22,0,11,52,0,0,58,123,138,3,2,0,3,3,31,"0"
"Jimmy Lambert",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"0"
"Jo Adell",88,285,268,22,60,12,2,8,27,4,2,11,107,100,6,4,0,1,0,23,"0"
"JoJo Romero",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"0"
"Joc Pederson",134,433,380,57,104,19,3,23,70,3,2,42,100,198,5,7,0,4,3,30,"0"
"Joe Barlow",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"0"
"Joe Dunand",3,11,10,2,3,1,0,1,1,0,0,0,3,7,0,1,0,0,0,26,"0"
"Joe Mantiply",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"0"
"Joe Perez",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,"0"
"Joel Kuhnel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"0"
"Joel Payamps",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Joely Rodr guez",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"0"
"Joey Bart",97,291,261,34,56,6,0,11,25,2,1,26,112,95,5,4,0,0,0,25,"0"
"Joey Gallo",252,820,700,96,112,16,4,38,94,6,0,112,326,250,0,6,0,2,0,28,"0"
"Joey Krehbiel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"0"
"Joey Meneses",56,240,222,33,72,14,0,13,34,1,0,15,52,125,13,1,0,2,2,30,"0"
"Joey Votto",91,376,322,31,66,18,1,11,41,0,0,44,97,119,8,10,0,0,0,38,"0"
"Joey Wendle",101,371,347,27,90,24,1,3,32,12,3,15,50,125,7,5,1,3,0,32,"0"
"Johan Camargo",52,166,152,8,36,3,0,3,15,0,0,13,37,48,1,0,1,0,0,28,"0"
"Jon Berti",102,404,358,47,86,17,3,4,28,41,5,42,89,121,6,3,0,1,0,32,"0"
"Jonah Bride",58,187,162,17,33,4,0,1,6,1,0,19,32,40,4,4,1,1,0,26,"0"
"Jonah Heim",127,450,406,51,92,20,1,16,48,2,0,41,87,162,10,1,0,2,0,27,"1"
"Jonathan Ara z",30,82,76,6,10,0,0,2,10,0,0,2,24,16,0,0,2,2,0,23,"0"
"Jonathan Aranda",32,87,78,10,15,4,0,2,6,0,0,8,23,25,1,1,0,0,1,24,"0"
"Jonathan Davis",37,91,76,9,17,1,0,0,4,7,1,14,26,18,1,0,1,0,0,30,"0"
"Jonathan India",103,431,386,48,96,16,2,10,41,3,4,31,94,146,5,14,0,0,1,25,"0"
"Jonathan Lo isiga",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"0"
"Jonathan Schoop",131,510,481,48,97,23,1,11,38,5,0,19,107,155,15,6,0,4,1,30,"0"
"Jonathan Villar",118,440,404,50,84,12,4,6,36,14,0,30,118,122,8,0,2,4,0,31,"0"
"Jordan Diaz",15,51,49,3,13,3,0,0,1,0,0,2,7,16,1,0,0,0,0,21,"0"
"Jordan Groshans",17,65,61,9,16,0,0,1,2,0,0,4,13,19,2,0,0,0,0,22,"0"
"Jordan Luplow",83,234,205,26,36,5,0,11,28,5,1,25,60,74,5,3,0,1,1,28,"0"
"Jorge Alfaro",82,274,256,25,63,14,0,7,40,1,0,11,98,98,5,4,0,3,0,29,"0"
"Jorge L pez",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"0"
"Jorge Mateo",150,533,494,63,109,25,7,13,50,35,9,27,147,187,8,5,3,2,0,27,"0"
"Jorge Polanco",104,445,375,54,88,16,0,16,56,3,3,64,95,152,4,2,0,4,1,28,"0"
"Jorge Soler",72,306,270,32,56,13,0,13,34,0,2,31,90,108,9,3,0,1,1,30,"1"
"Jos Abreu",157,679,601,85,183,40,0,15,75,0,0,62,110,268,19,12,0,4,2,35,"0"
"Jos Alvarado",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,"0"
"Jos Azocar",98,216,202,24,52,9,3,0,10,5,6,12,44,67,6,0,1,1,0,26,"0"
"Jos Godoy",20,44,40,6,2,0,0,0,2,0,0,4,18,2,0,0,0,0,0,27,"0"
"Jos Iglesias",118,467,439,48,128,30,0,3,47,2,3,17,56,167,11,8,0,3,0,32,"0"
"Jos Ram rez",157,685,601,90,168,44,5,29,126,20,7,69,82,309,5,6,0,9,20,29,"1"
"Jose Altuve",141,604,527,103,158,39,0,28,57,18,1,66,87,281,13,10,0,1,2,32,"0"
"Jose Barrero",48,174,165,13,25,3,0,2,10,4,1,9,76,34,4,0,0,0,0,24,"0"
"Jose Herrera",47,124,111,9,21,2,0,0,5,0,0,9,34,23,1,0,4,0,0,25,"0"
"Jose Miranda",125,483,444,45,119,25,0,15,66,1,1,28,91,189,19,10,0,1,0,24,"0"
"Jose Rojas",22,57,56,1,7,2,0,0,1,0,0,0,19,9,1,1,0,0,0,29,"0"
"Jose Siri",208,650,602,106,128,26,4,14,48,28,4,40,216,204,6,6,0,2,0,26,"0"
"Jose Trevino",115,353,335,39,83,12,1,11,43,2,1,15,62,130,5,2,0,1,0,29,"0"
"Josh Bell",312,1294,1104,156,294,58,6,34,142,0,2,162,204,466,44,10,0,12,8,29,"0"
"Josh Donaldson",132,546,478,59,106,28,0,15,62,2,2,54,148,179,13,8,0,6,1,36,"0"
"Josh H  Smith",73,253,213,23,42,5,0,2,16,4,3,28,50,53,1,7,2,3,0,24,"0"
"Josh Harrison",119,425,386,50,99,19,2,7,27,2,1,21,71,143,9,14,2,2,0,34,"0"
"Josh Jung",26,102,98,9,20,4,1,5,14,2,0,4,39,41,2,0,0,0,0,24,"1"
"Josh Lester",2,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27,"0"
"Josh Lowe",52,198,181,24,40,12,2,2,13,3,0,15,66,62,1,1,1,0,1,24,"0"
"Josh Naylor",122,498,449,47,115,28,0,20,79,6,1,38,80,203,13,6,0,5,4,25,"0"
"Josh Palacios",29,49,47,8,10,2,0,0,2,1,0,1,15,12,0,1,0,0,0,26,"0"
"Josh Rojas",125,510,443,66,119,25,1,9,56,23,3,55,98,173,7,2,5,5,2,28,"0"
"Josh Staumont",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Josh VanMeter",67,192,171,15,32,5,2,3,14,4,0,19,45,50,3,0,0,2,0,27,"0"
"Juan Lagares",20,62,60,4,11,2,1,0,0,0,0,2,15,15,0,0,0,0,0,33,"0"
"Juan Soto",306,1328,1048,186,254,50,4,54,124,12,4,270,192,474,24,8,0,0,12,23,"1"
"Juan Yepez",76,274,253,27,64,13,0,12,30,0,0,16,61,113,6,1,0,4,0,24,"0"
"Julio Rodr guez",132,560,511,84,145,25,3,28,75,25,7,40,145,260,7,8,0,1,4,21,"1"
"Jurickson Profar",152,658,575,82,140,36,2,15,58,5,1,73,103,225,12,4,3,3,0,29,"0"
"Justin Bruihl",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"0"
"Justin Grimm",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,"0"
"Justin Turner",128,532,468,61,130,36,0,13,81,3,0,50,89,205,13,6,0,8,1,37,"0"
"Justin Upton",17,57,48,2,6,1,0,1,3,0,0,6,23,10,1,3,0,0,0,34,"0"
"Ka ai Tom",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Ke Bryan Hayes",136,560,505,55,123,24,3,7,41,20,5,48,122,174,12,5,0,2,0,25,"0"
"Keibert Ruiz",112,433,394,33,99,22,0,7,36,6,1,30,50,142,9,6,1,2,0,23,"0"
"Kelvin Guti rrez",12,33,28,2,4,1,0,0,3,1,0,4,8,5,1,0,0,0,0,27,"0"
"Kendall Graveman",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"0"
"Kerry Carpenter",31,113,103,16,26,4,1,6,10,0,0,6,32,50,0,3,0,1,0,24,"0"
"Keston Hiura",80,266,234,34,53,8,1,14,32,5,2,23,111,105,3,8,0,1,0,25,"0"
"Ketel Marte",137,558,492,68,118,42,2,12,52,5,1,55,101,200,12,6,0,5,3,28,"0"
"Kevin Ginkel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
