"Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","TB","GDP","HBP","SH","SF","IBB","Age","Allstar_batter"
"Matthew Liberatore",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"0"
"Mauricio Dub n",208,530,486,62,104,18,0,10,48,4,6,26,60,152,14,2,6,10,0,27,"0"
"Max Kepler",115,446,388,54,88,18,1,9,43,3,2,49,66,135,7,5,0,4,1,29,"0"
"Max Muncy",136,565,464,69,91,22,1,21,69,2,0,90,141,178,2,5,0,6,1,31,"0"
"Max Schrock",13,27,26,1,4,0,0,0,1,0,0,1,6,4,0,0,0,0,0,27,"0"
"Max Stassi",102,375,333,32,60,12,1,9,30,0,0,38,112,101,12,2,1,1,0,31,"0"
"Meibrys Viloria",26,75,63,10,10,1,0,2,5,0,0,11,29,17,0,0,0,1,0,25,"0"
"Michael A  Taylor",124,456,414,49,105,10,3,9,43,4,2,35,109,148,6,2,2,3,0,31,"0"
"Michael Brantley",64,277,243,28,70,14,1,5,26,1,1,31,30,101,1,1,1,1,2,35,"0"
"Michael Chavis",129,426,401,39,92,16,3,14,49,1,1,19,126,156,4,2,0,4,1,26,"0"
"Michael Fulmer",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"0"
"Michael Harris II",114,441,414,75,123,27,3,19,64,20,2,21,107,213,7,5,1,0,0,21,"0"
"Michael Hermosillo",31,73,61,7,7,2,0,0,4,1,0,7,27,9,0,4,1,0,0,27,"0"
"Michael Massey",52,194,173,16,42,9,1,4,17,3,0,9,46,65,1,8,2,2,0,24,"0"
"Michael Papierski",78,206,182,14,26,2,0,2,8,0,0,20,52,34,8,0,4,0,0,26,"0"
"Michael Perez",90,264,242,20,36,0,0,12,28,2,0,20,64,72,4,0,2,0,0,29,"0"
"Michael Siani",9,24,24,1,4,0,0,0,0,0,1,0,7,4,1,0,0,0,0,22,"0"
"Michael Stefanic",25,69,61,5,12,2,0,0,0,0,0,5,12,14,1,2,1,0,0,26,"0"
"Michael Toglia",31,120,111,10,24,8,2,2,12,1,1,9,44,42,2,0,0,0,0,23,"0"
"Mickey McDonald",4,6,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,27,"0"
"Mickey Moniak",74,224,212,26,36,6,2,6,16,2,0,8,88,64,0,2,2,0,0,24,"0"
"Miguel Andujar",72,280,264,26,62,10,2,2,34,8,2,10,54,82,2,0,0,6,0,27,"0"
"Miguel Cabrera",112,433,397,25,101,10,0,5,43,1,0,28,101,126,11,3,0,5,3,39,"0"
"Miguel Rojas",140,507,471,34,111,19,2,6,36,9,3,26,61,152,12,6,1,3,1,33,"0"
"Miguel San",20,71,60,1,5,0,0,1,3,1,0,9,25,8,0,1,0,1,0,29,"0"
"Miguel Vargas",18,50,47,4,8,1,0,1,8,1,0,2,13,12,0,0,0,1,0,22,"0"
"Mike Brosseau",69,160,141,15,36,5,0,6,23,2,0,14,48,59,0,5,0,0,0,28,"0"
"Mike Ford",150,447,393,27,81,15,0,9,30,0,0,51,120,123,3,3,0,0,0,29,"0"
"Mike Moustakas",78,285,252,30,54,12,0,7,25,2,0,24,75,87,8,6,0,3,0,33,"0"
"Mike Trout",119,499,438,85,124,28,2,40,80,1,0,54,139,276,6,6,0,1,8,30,"1"
"Mike Yastrzemski",148,558,485,73,104,31,2,17,57,5,1,61,141,190,3,5,1,6,0,31,"0"
"Mike Zunino",36,123,115,7,17,3,0,5,16,0,0,6,46,35,2,1,0,1,0,31,"0"
"Miles Mastrobuoni",8,17,16,1,3,0,0,0,0,1,0,1,6,3,0,0,0,0,0,26,"0"
"Mitch Garver",54,215,188,23,39,7,0,10,24,1,1,23,53,76,3,2,0,2,0,31,"0"
"Mitch Haniger",57,247,224,31,55,8,0,11,34,0,0,20,65,96,7,1,0,2,1,31,"0"
"Monte Harrison",9,14,11,5,2,0,0,1,3,1,0,2,8,5,1,1,0,0,0,26,"0"
"Mookie Betts",142,639,572,117,154,40,3,35,82,12,2,55,104,305,8,8,0,4,0,29,"1"
"Mychal Givens",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"0"
"Myles Straw",152,596,535,72,118,22,3,0,32,21,1,54,87,146,4,1,2,4,0,27,"0"
"Narciso Crook",4,9,8,1,2,1,0,0,2,0,0,0,3,3,1,0,0,1,0,26,"0"
"Nate Eaton",44,122,106,16,28,4,3,1,12,11,1,10,30,41,2,2,1,3,0,25,"0"
"Nate Mondou",1,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27,"0"
"Nathaniel Lowe",157,645,593,74,179,26,3,27,76,2,2,48,147,292,10,4,0,0,2,26,"0"
"Nelson Cruz",124,507,448,50,105,16,0,10,64,4,0,49,119,151,16,4,0,3,1,41,"0"
"Nelson Vel zquez",77,206,185,20,38,7,3,6,26,5,2,19,65,69,5,2,0,0,0,23,"0"
"Nick Ahmed",17,54,52,7,12,2,0,3,7,0,1,2,15,23,2,0,0,0,0,32,"0"
"Nick Allen",100,326,299,31,62,13,0,4,19,3,2,19,64,87,5,1,6,1,0,23,"0"
"Nick Castellanos",136,558,524,56,138,27,0,13,62,7,1,29,130,204,15,3,0,2,0,30,"1"
"Nick Fortes",72,240,217,41,50,6,1,9,24,5,3,18,45,85,5,5,0,0,0,25,"0"
"Nick Gordon",136,443,405,45,110,28,4,9,50,6,4,19,105,173,8,10,3,6,1,26,"0"
"Nick Madrigal",59,228,209,19,52,7,0,0,7,3,1,14,27,59,6,3,2,0,0,25,"0"
"Nick Maton",34,85,72,13,18,2,1,5,17,0,0,10,29,37,0,1,0,2,0,25,"0"
"Nick Plummer",14,31,29,4,4,1,0,2,6,0,0,1,12,11,1,1,0,0,0,25,"0"
"Nick Pratto",49,182,158,18,29,9,1,7,20,0,0,19,66,61,6,1,1,3,0,23,"0"
"Nick Senzel",110,420,373,45,86,13,0,5,25,8,5,30,76,114,7,5,2,1,0,27,"0"
"Nick Solak",35,95,82,14,17,1,0,3,4,3,2,7,19,27,1,5,1,0,0,27,"0"
"Nicky Lopez",141,480,436,51,99,12,4,0,20,13,3,29,63,119,8,4,10,1,0,27,"0"
"Nico Hoerner",135,517,481,60,135,22,5,10,55,20,2,28,57,197,11,6,0,2,4,25,"0"
"Niko Goodrum",15,45,43,2,5,2,0,0,1,1,0,2,23,7,0,0,0,0,0,30,"0"
"No Ramirez",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"0"
"Nolan Arenado",148,620,557,73,163,42,1,30,103,5,3,52,72,297,15,7,0,4,3,31,"1"
"Nolan Gorman",89,313,283,44,64,13,0,14,35,1,0,28,103,119,2,2,0,0,0,22,"0"
"Nolan Jones",28,94,86,10,21,5,0,2,13,0,0,8,31,32,2,0,0,0,1,24,"0"
"Nomar Mazara",55,171,159,16,42,8,0,2,18,0,0,10,40,56,3,2,0,0,0,27,"0"
"Od bel Herrera",62,197,185,23,44,9,1,5,21,6,0,11,42,70,3,0,0,1,0,30,"0"
"Omar Narv ez",84,296,262,21,54,12,1,4,23,0,0,29,57,80,4,3,1,1,1,30,"0"
"Oneil Cruz",87,361,331,45,77,13,4,17,54,10,4,28,126,149,3,1,0,1,1,23,"0"
"Orlando Arcia",67,234,209,25,51,9,0,9,30,0,0,21,51,87,7,2,0,2,0,27,"1"
"Oscar Gonzalez",91,382,362,39,107,27,0,11,43,1,2,15,75,167,6,3,0,2,2,24,"0"
"Oswald Peraza",18,57,49,8,15,3,0,1,2,2,0,6,9,21,3,2,0,0,0,22,"0"
"Oswaldo Cabrera",44,171,154,21,38,8,1,6,19,3,2,15,44,66,1,0,1,1,0,23,"0"
"Otto Lopez",8,10,9,0,6,0,0,0,3,0,1,1,1,6,0,0,0,0,0,23,"0"
"Owen Miller",130,472,424,53,103,26,1,6,51,2,0,32,93,149,8,7,0,9,1,25,"0"
"Ozzie Albies",64,269,247,36,61,16,0,8,35,3,5,16,47,101,0,2,0,4,0,25,"1"
"P J  Higgins",74,229,201,23,46,11,1,6,30,0,0,22,58,77,2,2,3,1,0,29,"0"
"Pablo Reyes",5,16,15,1,4,0,0,0,0,0,0,1,2,4,0,0,0,0,0,28,"0"
"Patrick Mazeika",24,72,68,4,13,4,0,1,6,0,0,2,9,20,0,0,2,0,0,28,"0"
"Patrick Wisdom",134,534,469,67,97,28,0,25,66,8,4,53,183,200,8,9,1,2,1,30,"0"
"Paul DeJong",77,237,210,19,33,9,0,6,25,3,2,21,79,60,2,4,0,2,0,28,"0"
"Paul Goldschmidt",151,651,561,106,178,41,0,35,115,7,0,79,141,324,7,5,0,4,1,34,"0"
"Paul Sewald",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"0"
"Pavin Smith",75,277,245,24,54,9,0,9,33,1,0,28,67,90,2,1,0,3,1,26,"0"
"Payton Henry",15,35,28,2,4,0,0,0,4,0,0,5,8,4,0,2,0,0,0,25,"0"
"Pedro Severino",8,21,18,0,4,2,0,0,1,0,0,3,7,6,0,0,0,0,0,28,"0"
"Penn Murfee",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Pete Alonso",160,685,597,95,162,27,0,40,131,5,1,67,128,309,17,12,0,9,16,27,"1"
"Peyton Burdick",32,102,92,8,19,4,0,4,11,1,0,8,35,35,1,2,0,0,0,25,"0"
"Phil Bickford",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"0"
"Phil Gosselin",68,154,148,12,22,0,2,0,4,0,0,4,48,26,2,2,0,0,0,33,"0"
"Rafael Devers",141,614,555,84,164,42,1,27,88,3,1,50,114,289,14,6,0,3,11,25,"0"
"Rafael Ortega",118,371,316,35,76,14,1,7,35,12,7,44,74,113,10,2,1,7,2,31,"0"
"Raimel Tapia",128,433,411,47,109,20,3,7,52,8,2,16,81,156,12,0,3,1,0,28,"0"
"Ram n Laureano",94,383,346,49,73,18,0,13,34,11,6,25,104,130,6,12,0,0,0,27,"0"
"Ram n Ur as",118,445,403,50,100,17,1,16,51,1,0,30,98,167,7,5,3,4,1,28,"0"
"Randal Grichuk",140,538,506,60,131,21,3,19,73,4,0,24,127,215,12,6,0,2,0,30,"0"
"Randy Arozarena",153,645,586,72,154,41,3,20,89,32,12,46,156,261,17,11,0,2,2,27,"1"
"Reese McGuire",178,548,498,50,134,28,2,6,44,2,0,24,112,184,12,6,12,6,0,27,"0"
"Reiver Sanmartin",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,"0"
"Ren Pinto",25,83,80,5,17,3,0,2,10,0,0,2,35,26,3,1,0,0,0,25,"0"
"Reyes Moronta",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"0"
"Reynaldo L pez",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Rhys Hoskins",156,672,589,81,145,33,2,30,79,2,1,72,169,272,12,6,0,4,0,29,"0"
"Richard Bleier",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,"0"
"Richie Martin",13,33,30,4,5,0,2,0,3,3,1,3,10,9,0,0,0,0,0,27,"0"
"Richie Palacios",54,123,112,7,26,6,0,0,10,2,0,9,20,32,2,1,0,1,1,25,"0"
"Rico Garcia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Riley Adams",48,155,142,14,25,4,0,5,10,0,1,12,46,44,2,1,0,0,0,26,"0"
"Riley Greene",93,418,376,46,95,18,4,5,42,1,4,36,120,136,8,3,0,3,0,21,"0"
"Rob Brantly",1,3,3,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,32,"0"
"Rob Refsnyder",57,177,153,25,47,11,0,6,21,1,1,15,46,76,1,6,0,3,0,31,"0"
"Robbie Grossman",258,954,822,80,172,38,2,14,90,12,4,112,258,256,6,12,0,8,0,32,"0"
"Roberto P rez",21,69,60,8,14,2,0,2,8,0,0,9,25,22,1,0,0,0,0,33,"0"
"Robinson Can",66,208,200,10,30,2,0,2,8,0,0,8,50,38,4,0,0,0,0,39,"0"
"Robinson Chirinos",67,220,195,10,35,9,0,4,22,1,0,19,67,56,4,4,1,1,0,38,"0"
"Rodolfo Castro",71,278,253,25,59,8,4,11,27,5,3,22,74,108,6,2,0,1,0,23,"0"
"Roman Quinn",88,174,158,30,34,6,4,0,14,8,6,14,72,48,0,2,0,0,0,29,"0"
"Romy Gonzalez",32,109,105,15,25,4,1,2,11,0,1,2,39,37,3,1,0,1,0,25,"0"
"Ronald Acuna Jr",119,533,467,71,124,24,0,15,50,29,11,53,126,193,8,10,0,3,4,24,"1"
"Ronald Bola os",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"0"
"Ronald Guzm n",3,6,6,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,27,"0"
"Ronnie Dawson",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,"0"
"Rougned Odor",135,472,426,49,88,19,3,13,53,6,1,32,109,152,9,10,0,4,1,28,"0"
"Rowdy Tellez",153,599,529,67,116,23,0,35,89,2,1,62,121,244,20,5,0,3,9,27,"0"
"Royce Lewis",12,41,40,5,12,4,0,2,5,0,0,1,5,22,2,0,0,0,0,23,"0"
"Ryan Aguilar",7,26,22,2,3,1,0,0,2,0,0,2,14,4,0,1,0,1,0,27,"0"
"Ryan Hendrix",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"0"
"Ryan Jeffers",67,236,212,25,44,10,1,7,27,0,0,23,62,77,6,0,1,0,0,25,"0"
"Ryan Kreidler",26,84,73,8,13,1,0,1,6,0,1,6,22,17,0,1,2,2,0,24,"0"
"Ryan McKenna",104,172,156,23,37,10,0,2,11,2,1,11,55,53,3,2,2,1,1,25,"0"
"Ryan McMahon",153,597,529,67,130,23,3,20,67,7,3,60,158,219,7,5,0,3,0,27,"0"
"Ryan Mountcastle",145,609,555,62,139,28,1,22,85,4,1,43,154,235,12,4,0,7,1,25,"0"
"Ryan O Hearn",67,145,134,14,32,6,1,1,16,0,0,8,35,43,2,2,0,1,0,28,"0"
"Rylan Bannon",10,30,28,0,4,0,0,0,0,0,0,0,10,4,0,2,0,0,0,26,"0"
"S mon Muzziotti",9,9,7,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,23,"0"
"Salvador Perez",114,473,445,48,113,23,1,23,76,0,0,18,109,207,9,7,0,3,2,32,"1"
"Sam Haggerty",83,201,176,29,45,9,1,5,23,13,1,18,53,71,4,4,1,2,3,28,"0"
"Sam Hilliard",70,200,174,26,32,6,1,2,14,5,1,23,57,46,2,1,0,2,0,28,"0"
"Sam Huff",44,132,121,9,29,4,0,4,10,1,0,11,42,45,1,0,0,0,1,24,"0"
"Sandy Le n",66,172,142,12,24,6,0,0,8,0,0,26,54,30,4,0,4,0,0,33,"0"
"Santiago Espinal",135,491,449,51,120,25,0,7,51,6,6,36,68,166,12,2,1,3,1,27,"0"
"Scott Alexander",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"0"
"Scott Barlow",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"0"
"Scott Kingery",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Sean Bouchard",27,97,74,9,22,6,0,3,11,0,0,21,25,37,1,1,0,1,0,26,"0"
"Sean Murphy",148,612,537,67,134,37,2,18,66,1,0,56,124,229,14,13,0,5,2,27,"1"
"Sean Poppen",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Sebasti n Rivero",17,29,26,2,4,0,0,0,1,0,0,2,10,4,0,0,1,0,0,23,"0"
"Seby Zavala",61,205,178,22,48,14,0,2,21,0,0,19,64,68,1,3,3,2,0,28,"0"
"Seiya Suzuki",111,446,397,54,104,22,2,14,46,9,5,42,110,172,8,4,0,3,3,27,"0"
"Sergio Alc ntara",186,448,410,52,90,16,2,12,58,2,4,24,114,146,12,2,4,8,0,25,"0"
"Seth Beer",38,126,111,4,21,3,0,1,9,0,0,11,31,27,3,3,0,1,1,25,"0"
"Seth Brown",150,555,500,55,115,26,3,25,73,11,2,51,146,222,7,3,0,1,3,29,"0"
"Seth Lugo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,"0"
"Shea Langeliers",40,153,142,14,31,10,1,6,22,0,0,9,53,61,4,0,0,2,0,24,"0"
"Sheldon Neuse",89,293,271,25,58,4,2,4,26,6,1,20,80,78,5,2,0,0,0,27,"0"
"Shohei Ohtani",157,666,586,90,160,30,6,34,95,11,9,72,161,304,6,5,0,3,14,27,"1"
"Skye Bolt",42,116,106,10,21,2,0,4,13,5,0,7,30,35,1,2,0,1,0,28,"0"
"Spencer Steer",28,108,95,12,20,5,0,2,8,0,1,11,26,31,2,2,0,0,0,24,"0"
"Spencer Torkelson",110,404,360,38,73,16,1,8,28,0,1,37,99,115,12,5,0,2,0,22,"0"
"Starling Marte",118,505,466,76,136,24,5,16,63,18,9,26,97,218,18,13,0,0,0,33,"0"
"Steele Walker",5,16,14,1,1,0,0,1,1,0,0,2,4,4,0,0,0,0,0,25,"0"
"Stephen Piscotty",42,139,126,12,24,4,0,5,14,2,0,9,48,43,2,2,0,2,1,31,"0"
"Stephen Vogt",70,191,168,18,27,4,1,7,23,1,0,17,46,54,4,2,0,4,0,37,"0"
"Steven Duggar",75,201,180,19,26,6,3,0,8,11,3,19,107,38,0,0,0,2,0,28,"0"
"Steven Kwan",147,638,563,89,168,25,7,6,52,19,5,62,60,225,9,7,2,4,2,24,"0"
"Steven Okert",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"0"
"Steven Souza Jr",6,19,19,0,3,0,0,0,1,0,0,0,8,3,2,0,0,0,0,33,"0"
"Stone Garrett",27,84,76,13,21,8,0,4,10,3,1,3,27,41,1,1,0,1,0,26,"0"
"Stuart Fairchild",135,327,288,42,72,12,3,15,18,0,6,24,100,135,3,15,0,0,0,26,"0"
"TJ Friedl",72,258,225,33,54,10,5,8,25,7,2,20,40,98,3,7,0,6,0,26,"0"
"Tanner Scott",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"0"
"Taylor Clarke",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"0"
"Taylor Jones",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"0"
"Taylor Motter",2,6,6,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,32,"0"
"Taylor Rogers",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"0"
"Taylor Trammell",43,117,102,15,20,9,0,4,10,2,1,13,33,41,2,0,1,1,0,24,"0"
"Taylor Walls",142,466,407,53,70,18,2,8,33,10,3,52,120,116,6,2,2,2,0,25,"0"
"Taylor Ward",135,564,495,73,139,22,2,23,65,5,3,60,120,234,5,4,0,5,0,28,"0"
"Teoscar Hern ndez",131,535,499,71,133,35,1,25,77,6,3,34,152,245,18,2,0,0,0,29,"0"
"Terrance Gore",10,8,7,1,1,0,0,0,0,3,0,0,3,1,0,0,1,0,0,31,"0"
"Terrin Vavra",40,103,89,14,23,2,1,1,12,0,1,12,19,30,2,0,0,2,0,25,"0"
"Thairo Estrada",140,541,488,71,127,22,2,14,62,21,6,33,89,195,10,14,1,5,0,26,"0"
"Tim Anderson",79,351,332,50,100,13,0,6,25,13,0,14,55,131,10,5,0,0,1,29,"0"
"Tim Beckham",12,25,25,1,2,0,0,0,1,0,0,0,9,2,2,0,0,0,0,32,"0"
"Tim Locastro",38,46,43,13,8,1,0,2,4,8,2,2,7,15,0,1,0,0,0,29,"0"
"Tom Murphy",14,42,33,9,10,2,0,1,1,0,0,8,13,15,1,0,0,0,0,31,"0"
"Tom s Nido",98,313,284,31,68,15,0,3,28,0,0,14,76,92,14,1,12,2,0,28,"0"
"Tommy Edman",153,630,577,95,153,31,4,13,57,32,3,46,111,231,10,5,1,1,2,27,"0"
"Tommy Hunter",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,"0"
"Tommy La Stella",60,195,180,17,43,14,0,2,14,0,0,11,30,63,4,1,0,3,0,33,"0"
"Tommy Pham",288,1244,1108,178,262,46,2,34,126,16,6,112,334,414,40,14,0,10,0,34,"0"
"Tony Kemp",147,558,497,61,117,24,2,7,46,11,1,45,69,166,5,8,5,3,0,30,"0"
"Tony Wolters",2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,30,"0"
"Travis Blankenhorn",1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,"0"
"Travis Demeritte",26,96,89,9,19,2,0,3,6,0,0,6,32,30,2,0,0,1,0,27,"0"
"Travis Jankowski",88,128,110,22,18,0,0,0,4,6,0,16,20,18,0,2,0,0,0,31,"0"
"Travis Shaw",7,19,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,32,"0"
"Travis Swaggerty",5,9,9,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,24,"0"
"Travis d Arnaud",107,426,396,61,106,25,1,18,60,0,0,19,90,187,12,11,0,0,0,33,"0"
"Trayce Thompson",160,510,438,72,112,28,2,26,82,8,2,64,186,222,4,4,0,4,0,31,"0"
"Trea Turner",160,708,652,101,194,39,4,21,100,27,3,45,131,304,9,3,0,6,1,29,"0"
"Trent Grisham",152,524,451,58,83,16,2,17,53,7,1,57,150,154,3,7,7,2,1,25,"0"
"Tres Barrera",19,53,50,2,9,1,0,0,4,0,0,2,16,10,1,0,1,0,0,27,"0"
"Trevor Larnach",51,180,160,22,37,13,0,5,18,0,0,18,57,65,1,0,0,2,1,25,"0"
"Trevor Story",94,396,357,53,85,22,0,16,66,13,0,32,122,155,9,3,0,4,4,29,"0"
"Trevor Williams",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"0"
"Trey Mancini",286,1174,1038,112,248,46,2,36,126,0,0,106,270,406,24,20,0,10,4,30,"0"
"Triston Casas",27,95,76,11,15,1,0,5,12,1,0,19,23,31,4,0,0,0,0,22,"0"
"Tucker Barnhart",94,308,281,16,62,10,0,1,16,0,0,25,74,75,7,1,1,0,0,31,"0"
"Tucupita Marcano",49,177,160,18,33,6,2,2,13,2,1,10,44,49,1,1,5,1,0,22,"0"
"Ty France",140,613,551,65,151,27,1,20,83,0,0,35,94,240,18,21,0,5,3,27,"0"
"Tyler Anderson",2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,"0"
"Tyler Duffey",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"0"
"Tyler Freeman",24,86,77,9,19,3,0,0,3,1,0,4,11,22,2,4,0,1,0,23,"0"
"Tyler Heineman",124,348,314,32,68,16,0,0,18,2,0,16,34,84,6,10,8,0,0,31,"0"
"Tyler Naquin",210,668,620,94,142,38,8,22,92,8,4,38,186,262,6,8,2,0,4,31,"0"
"Tyler Nevin",58,184,157,17,31,4,0,2,16,0,0,20,46,41,4,4,0,3,0,25,"0"
"Tyler O Neill",96,383,334,56,76,11,1,14,58,14,4,38,103,131,9,4,0,7,0,27,"0"
"Tyler Stephenson",50,183,166,24,53,9,0,6,35,1,0,12,47,80,4,3,0,2,0,25,"0"
"Tyler Wade",67,163,147,22,32,5,0,1,8,8,5,10,33,40,3,1,5,0,0,27,"0"
"Tyrone Taylor",120,405,373,49,87,21,3,17,51,3,2,22,102,165,11,7,0,3,0,28,"0"
"Vaughn Grissom",41,156,141,24,41,6,0,5,18,5,2,11,34,62,0,3,0,1,1,21,"0"
"Victor Caratini",95,314,272,26,54,12,0,9,34,0,0,31,67,93,11,9,1,1,1,28,"0"
"Victor Reyes",92,336,315,27,80,19,3,3,34,2,2,13,77,114,7,4,0,4,0,27,"0"
"Victor Robles",132,407,366,42,82,10,2,6,33,15,4,17,104,114,3,9,11,4,0,25,"0"
"Vidal Bruj n",52,162,147,13,24,5,0,3,16,5,5,12,37,38,2,1,0,2,0,24,"0"
"Vimael Mach n",73,253,223,26,49,12,0,1,13,1,1,25,47,64,6,2,0,3,0,28,"0"
"Vinnie Pasquantino",72,298,258,25,76,10,0,10,26,1,0,35,34,116,5,3,0,2,1,24,"0"
"Vinny Capra",8,7,5,2,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,25,"0"
"Vladimir Guerrero Jr",160,706,638,90,175,35,0,32,97,8,3,58,116,306,26,6,0,4,6,23,"1"
"Wander Franco",83,344,314,46,87,20,3,6,33,8,0,26,33,131,5,0,0,4,1,21,"1"
"Whit Merrifield",278,1100,1008,140,252,56,2,22,116,32,10,76,170,378,22,0,0,16,0,33,"1"
"Wil Myers",77,286,261,29,68,15,0,7,41,2,1,21,86,104,7,1,0,3,1,31,"0"
"Will Benson",28,61,55,8,10,1,0,0,3,0,0,3,19,11,1,2,1,0,0,24,"0"
"Will Brennan",11,45,42,6,15,1,1,1,8,2,1,2,4,21,0,1,0,0,1,24,"0"
"Will Smith",137,578,508,68,132,26,3,24,87,1,0,56,96,236,11,10,0,4,4,27,"1"
"Willi Castro",112,392,365,47,88,18,2,8,31,9,4,15,82,134,4,8,1,3,0,25,"0"
"William Contreras",97,376,334,51,93,14,1,20,45,2,0,39,104,169,5,1,0,2,1,24,"0"
"Willians Astudillo",21,55,54,5,13,0,0,1,4,1,0,1,3,16,2,0,0,0,0,30,"0"
"Willie Calhoun",44,124,104,14,14,6,0,2,6,0,0,18,16,26,4,2,0,0,0,27,"0"
"Willson Contreras",113,487,416,65,101,23,2,22,55,4,2,45,103,194,14,24,0,2,0,30,"0"
"Willy Adames",139,617,563,83,134,31,0,31,98,8,3,49,166,258,11,1,0,4,3,26,"0"
"Wilmer Difo",3,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,"0"
"Wilmer Flores",151,602,525,72,120,28,1,19,71,0,0,59,103,207,7,11,0,7,1,30,"0"
"Wyatt Mills",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"0"
"Wynton Bernard",12,42,42,9,12,1,0,0,3,3,1,0,8,13,1,0,0,0,0,31,"0"
"Xander Bogaerts",150,631,557,84,171,38,0,15,73,8,2,57,118,254,14,10,0,7,2,29,"0"
"Yadiel Hern ndez",94,327,305,30,82,16,0,9,41,2,1,19,74,125,9,1,0,2,0,34,"0"
"Yadier Molina",78,270,262,19,56,8,0,5,24,2,0,5,40,79,10,2,0,1,0,39,"0"
"Yainer Diaz",6,9,8,0,1,1,0,0,1,0,0,1,2,2,0,0,0,0,0,23,"0"
"Yairo Mu oz",29,60,57,7,12,2,0,3,7,1,0,3,10,23,0,0,0,0,0,27,"0"
"Yan Gomes",86,293,277,23,65,12,0,8,31,2,0,8,47,101,15,3,1,4,0,34,"0"
"Yandy D az",137,558,473,71,140,33,0,9,57,3,3,78,60,200,10,6,0,1,2,30,"1"
"Yasmani Grandal",99,376,327,15,66,7,0,5,27,1,0,45,79,88,8,2,0,2,1,33,"0"
"Yerm n Mercedes",31,83,73,9,17,5,0,1,8,0,0,9,17,25,1,1,0,0,0,29,"0"
"Yo n Moncada",104,433,397,41,84,18,1,12,51,2,0,32,114,140,5,2,1,1,2,27,"0"
"Yolmer Sanchez",34,88,74,2,8,0,0,0,4,0,4,10,26,8,0,0,4,0,0,30,"0"
"Yonathan Daza",113,408,372,56,112,21,2,2,34,0,3,26,58,143,12,4,1,5,0,28,"0"
"Yonny Hern ndez",12,28,24,2,2,0,0,0,0,2,0,2,4,2,0,0,2,0,0,24,"0"
